listing_id,available,minimum_nights,maximum_nights
6422,217,9450.0,114975.0
25613,21,630.0,354375.0
136015,140,9450.0,354375.0
258817,314,9450.0,114975.0
289242,314,9450.0,114975.0
319705,314,9450.0,114975.0
340081,315,9450.0,114975.0
395889,281,315.0,1575.0
421290,66,688.0,320828.0
430052,58,694.0,328654.0
431258,230,728.0,354375.0
491172,67,315.0,4410.0
501570,68,315.0,4410.0
513664,313,630.0,9450.0
632636,58,692.0,323078.0
645985,200,9450.0,114975.0
648088,269,630.0,354375.0
674159,312,630.0,94500.0
681880,32,630.0,6615.0
747429,79,630.0,354375.0
980344,44,630.0,1260.0
1006989,139,630.0,354375.0
1009550,88,1575.0,354375.0
1039298,18,630.0,354375.0
1065775,0,9480.0,355500.0
1130166,206,630.0,3150.0
1209395,270,950.0,354375.0
1300670,218,642.0,4396.0
1300996,305,929.0,354375.0
1376970,154,9450.0,354375.0
1468175,0,4424.0,115340.0
1469884,0,316.0,94800.0
1537921,283,630.0,354375.0
1546787,152,405.0,114975.0
1550764,68,524.0,325307.0
1557535,231,945.0,113400.0
1583339,222,630.0,354375.0
1583557,176,405.0,354375.0
1584280,305,630.0,354375.0
1587240,76,630.0,354375.0
1640655,313,1260.0,354375.0
1661560,253,403.0,50240.0
1709396,314,638.0,4410.0
1786497,179,9450.0,354375.0
1793477,314,315.0,354375.0
1840652,141,630.0,354375.0
1844680,0,314.0,353250.0
1857152,116,630.0,8820.0
1951714,90,405.0,8820.0
1954040,300,315.0,354375.0
2022417,179,585.0,354375.0
2071080,0,407.0,31284.0
2071488,49,9450.0,47250.0
2083878,73,450.0,354375.0
2138177,81,638.0,354375.0
2170733,0,768.0,355500.0
2172240,169,9450.0,47250.0
2181743,210,995.0,354375.0
2247632,271,855.0,354375.0
2261942,79,630.0,4410.0
2273933,314,945.0,354375.0
2316288,298,925.0,114975.0
2372334,76,630.0,354375.0
2396505,293,948.0,355500.0
2473234,214,630.0,112140.0
2479230,118,9450.0,56700.0
2521338,180,9765.0,114975.0
2581896,242,948.0,115340.0
2666769,254,1025.0,354375.0
2687266,263,630.0,354375.0
2694882,78,497.0,115340.0
2699594,314,928.0,115340.0
2710049,314,9450.0,114975.0
2726453,0,723.0,355500.0
2743820,219,9765.0,56700.0
2811765,0,9480.0,18960.0
2824336,301,630.0,354375.0
2871526,118,630.0,354375.0
2874811,32,9480.0,118500.0
2906844,155,630.0,354375.0
2908364,212,945.0,354375.0
2931998,0,948.0,355500.0
2950152,234,315.0,354375.0
2958698,0,628.0,1570.0
3005865,314,9420.0,28260.0
3021231,242,765.0,114975.0
3043332,141,630.0,354375.0
3052313,266,630.0,28350.0
3056884,296,630.0,354375.0
3072413,0,632.0,355500.0
3095791,180,9450.0,354375.0
3107569,314,314.0,12560.0
3116713,117,9734.0,353250.0
3121821,282,315.0,354375.0
3123909,298,634.0,354375.0
3158038,31,630.0,1575.0
3215996,207,495.0,354375.0
3231144,1,9480.0,115340.0
3275310,0,588.0,355500.0
3284008,178,315.0,945.0
3288576,48,495.0,354375.0
3328710,315,9450.0,354375.0
3379848,289,630.0,2205.0
3398939,49,495.0,354375.0
3464176,149,630.0,354375.0
3498020,179,9450.0,28350.0
3571432,306,315.0,354375.0
3578360,213,630.0,354375.0
3595967,205,945.0,2835.0
3615228,315,9450.0,315000.0
3643239,0,317.0,354375.0
3648549,137,452.0,355500.0
3686152,234,844.0,354375.0
3696753,149,945.0,354375.0
3703925,167,315.0,354375.0
3704256,0,632.0,355500.0
3710914,229,405.0,354375.0
3717911,0,317.0,354375.0
3741091,0,948.0,37920.0
3742359,239,628.0,353250.0
3760692,306,315.0,354375.0
3760928,2,315.0,354375.0
3789558,89,945.0,354375.0
3793659,290,904.0,355500.0
3811909,77,630.0,4410.0
3861690,108,630.0,354375.0
3867817,280,9420.0,353250.0
3895594,122,9450.0,18900.0
3905148,280,315.0,354375.0
3907104,202,1007.0,354375.0
3949381,253,9450.0,114975.0
3952633,140,8505.0,354375.0
4033107,0,316.0,355500.0
4033674,271,315.0,354375.0
4047679,173,9450.0,56700.0
4067086,215,515.0,354375.0
4100639,305,659.0,354375.0
4110237,163,315.0,354375.0
4169295,301,720.0,354375.0
4170603,249,942.0,353250.0
4178988,247,992.0,354375.0
4197716,121,315.0,354375.0
4227049,89,630.0,354375.0
4252199,195,630.0,354375.0
4258496,0,315.0,354375.0
4266652,0,632.0,355500.0
4275484,306,630.0,354375.0
4278005,178,9450.0,56700.0
4278864,219,630.0,9135.0
4302855,227,635.0,354375.0
4302984,314,314.0,353250.0
4303083,232,635.0,354375.0
4351066,286,630.0,31500.0
4358798,253,630.0,354375.0
4365735,260,720.0,354375.0
4387520,306,632.0,355500.0
4404303,0,632.0,9164.0
4436799,128,489.0,354375.0
4438136,82,9450.0,354375.0
4474214,277,634.0,354375.0
4476315,261,630.0,354375.0
4485271,242,629.0,354375.0
4490882,50,8817.0,354375.0
4491931,120,630.0,354375.0
4494569,264,630.0,354375.0
4511965,214,632.0,355500.0
4531756,314,630.0,354375.0
4540367,315,315.0,354375.0
4559286,90,315.0,354375.0
4582359,0,452.0,355500.0
4604518,277,652.0,336555.0
4625481,310,630.0,354375.0
4688417,0,632.0,355500.0
4688669,184,635.0,57330.0
4786007,34,9765.0,114975.0
4787052,309,405.0,354375.0
4796367,0,362.0,355500.0
4806588,292,664.0,354375.0
4809998,81,630.0,9765.0
4810344,224,360.0,354375.0
4857128,121,920.0,353250.0
4861360,122,630.0,354375.0
4878145,208,945.0,4410.0
4917247,255,630.0,354375.0
4924659,258,315.0,28350.0
4935632,315,9450.0,354375.0
4949787,252,806.0,354375.0
4958707,223,643.0,354375.0
4963269,119,630.0,354375.0
