,last_scraped,id,host_id,host_is_superhost,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,occ_rate,monthly_income,multi_listing_host,neighborhood
93447,2021-02-20,6422,12172,1,37206.0,36.17315,-86.73581,Guest suite,Private room,2,1.0,3.0,40.0,30.0,365.0,3,3,3,674,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1.0,0.7,851.6666666666667,0,East_Nashville
93448,2021-02-20,25613,95811,1,37206.0,36.17826,-86.74162,Guest suite,Private room,2,1.0,1.0,75.0,2.0,30.0,0,0,0,510,97.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1.0,0.5089315068493151,1161.0,0,East_Nashville
93449,2021-02-20,136015,666322,0,37214.0,36.19464,-86.67195,Apartment,Entire home/apt,2,1.0,1.0,103.0,30.0,1125.0,0,0,0,50,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0,2.0,0.7,2193.0416666666665,1,Donelson
93450,2021-02-20,258817,22296,1,37076.0,36.16249000000001,-86.58988000000002,Guest suite,Private room,2,1.0,2.0,27.0,30.0,365.0,29,59,89,96,95.0,10.0,9.0,10.0,10.0,9.0,9.0,0,7.0,0.7,574.875,1,Donelson
93451,2021-02-20,289242,22296,1,37076.0,36.16102,-86.59206999999998,Guest suite,Private room,1,1.0,3.0,24.0,30.0,365.0,29,59,89,76,94.0,9.0,8.0,10.0,9.0,9.0,9.0,0,7.0,0.7,510.99999999999994,1,Donelson
93452,2021-02-20,319705,22296,1,37076.0,36.16296,-86.59187,Guest suite,Private room,3,1.0,5.0,31.0,30.0,365.0,29,59,89,48,95.0,9.0,9.0,10.0,9.0,9.0,9.0,0,7.0,0.7,660.0416666666666,1,Donelson
93453,2021-02-20,340081,22296,1,37076.0,36.16128,-86.58986,Guest suite,Private room,3,1.0,3.0,24.0,30.0,365.0,30,60,90,77,97.0,9.0,9.0,10.0,10.0,9.0,10.0,0,7.0,0.7,510.99999999999994,1,Donelson
93454,2021-02-20,395889,1547584,1,37206.0,36.16492,-86.7501,Guest suite,Private room,2,1.0,1.0,69.0,1.0,5.0,28,47,73,233,97.0,10.0,10.0,10.0,10.0,10.0,9.0,0,1.0,0.26301369863013696,551.9999999999999,0,East_Nashville
93455,2021-02-21,421290,1684051,1,37203.0,36.1723,-86.7925,Guest suite,Entire home/apt,2,1.0,1.0,82.0,2.0,60.0,19,45,66,819,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1,6.0,0.7,1745.9166666666667,1,Downtown
93456,2021-02-21,430052,1684051,1,37203.0,36.1723,-86.7925,Guest suite,Entire home/apt,2,1.0,1.0,79.0,2.0,60.0,15,37,58,810,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1,6.0,0.7,1682.0416666666667,1,Downtown
93457,2021-02-20,431258,1684051,1,37203.0,36.1758,-86.7995,House,Entire home/apt,4,2.5,2.0,200.0,2.0,30.0,0,0,16,416,98.0,10.0,10.0,10.0,10.0,9.0,10.0,1,6.0,0.39452054794520547,2400.0,1,Downtown
93458,2021-02-20,491172,2427763,1,37207.0,36.18756,-86.74721,Guest suite,Private room,2,1.0,1.0,95.0,1.0,14.0,0,0,0,348,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0,3.0,0.43002739726027395,1242.6,1,East_Nashville
93459,2021-02-20,501570,2427763,1,37206.0,36.19141,-86.74371,Guest suite,Private room,2,1.0,1.0,95.0,1.0,14.0,0,0,0,267,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0,3.0,0.3313972602739726,957.6,1,East_Nashville
93460,2021-02-20,513664,2530554,0,37214.0,36.15478,-86.64912,Guest suite,Private room,4,1.0,2.0,90.0,2.0,30.0,28,58,88,27,94.0,9.0,9.0,10.0,10.0,9.0,9.0,0,1.0,0.03682191780821918,100.80000000000001,0,Donelson
93461,2021-02-19,632636,1684051,1,37203.0,36.1723,-86.7925,Apartment,Entire home/apt,2,1.5,1.0,104.0,2.0,60.0,10,36,58,306,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.0,0.7,2214.3333333333335,1,Downtown
93462,2021-02-20,645985,1515903,1,37206.0,36.18565,-86.71511,Guest suite,Private room,1,1.0,1.0,29.0,30.0,365.0,0,0,20,47,97.0,10.0,10.0,10.0,10.0,9.0,10.0,0,2.0,0.7,617.4583333333333,1,East_Nashville
93463,2021-02-20,648088,3250769,0,37203.0,36.1447,-86.79014000000002,Other,Private room,4,1.0,2.0,125.0,2.0,14.0,21,24,54,379,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1.0,0.48526027397260274,1845.0000000000002,0,Downtown
93464,2021-02-20,674159,3422455,1,37206.0,36.17242,-86.73742,Guest suite,Entire home/apt,2,1.0,1.0,95.0,2.0,300.0,30,57,87,263,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1.0,0.13150684931506848,379.99999999999994,0,East_Nashville
93465,2021-02-20,681880,3471162,1,37216.0,36.21628,-86.70935,Guest suite,Entire home/apt,2,1.0,1.0,89.0,2.0,21.0,0,0,0,560,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1.0,0.7,1894.9583333333333,0,East_Nashville
93466,2021-02-20,747429,2066370,0,37203.0,36.18276,-86.80296,House,Entire home/apt,10,2.0,3.0,150.0,2.0,1125.0,0,0,5,58,93.0,10.0,10.0,10.0,10.0,8.0,9.0,1,2.0,0.07627397260273971,347.99999999999994,1,North_Nashville
93467,2021-02-20,980344,441439,0,37209.0,36.144,-86.82826999999997,Guest suite,Private room,2,1.0,1.0,250.0,2.0,4.0,0,18,44,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.0,0.003945205479452055,30.0,1,West_Nashville
93468,2021-02-20,1006989,1896384,1,37206.0,36.17509,-86.73581,Guest suite,Entire home/apt,3,1.0,1.0,66.0,2.0,5.0,9,30,49,445,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1.0,0.5260273972602739,1056.0,0,East_Nashville
93469,2021-02-20,1009550,5554006,1,37216.0,36.21235,-86.70461,Guest suite,Entire home/apt,4,1.0,4.0,99.0,5.0,28.0,29,59,88,201,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1.0,0.6904109589041095,2079.0,0,East_Nashville
93470,2021-02-20,1039298,5721539,1,37216.0,36.2249,-86.72295,Guest suite,Entire home/apt,4,1.0,2.0,79.0,2.0,30.0,0,0,0,81,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1.0,0.2248767123287671,540.36,0,East_Nashville
93471,2021-02-19,1065775,666322,0,37214.0,36.18058,-86.68721,House,Entire home/apt,6,1.0,2.0,100.0,30.0,1125.0,0,0,0,16,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,2.0,0.3353424657534247,1020.0000000000002,1,Donelson
93472,2021-02-20,1130166,6201847,1,37203.0,36.122,-86.78844000000002,Guest suite,Entire home/apt,3,1.0,2.0,86.0,2.0,10.0,1,3,13,383,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1.0,0.13150684931506848,344.0,0,South_Nashville
93473,2021-02-20,1209395,6604593,0,37203.0,36.14883,-86.79629,Condominium,Entire home/apt,2,1.0,1.0,86.0,3.0,1125.0,16,25,45,168,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1.0,0.19726027397260273,516.0,0,Downtown
93474,2021-02-21,1300670,119023,1,37072.0,36.32114,-86.72644,Other,Entire home/apt,4,1.0,2.0,135.0,2.0,14.0,1,1,23,48,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1.0,0.13150684931506848,540.0,0,Madison
93475,2021-02-20,1300996,7073590,1,37206.0,36.1696,-86.7251,Apartment,Entire home/apt,4,1.0,1.0,59.0,1.0,1125.0,25,53,83,413,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1,16.0,0.7,1256.2083333333333,1,East_Nashville
93476,2021-02-20,1376970,387150,0,37216.0,36.18945,-86.72531,House,Entire home/apt,3,1.0,1.0,89.0,30.0,1125.0,0,0,0,138,93.0,9.0,9.0,10.0,10.0,10.0,9.0,0,2.0,0.7,1894.9583333333333,1,East_Nashville
93477,2021-02-19,1468175,7720839,0,37203.0,36.14901,-86.78818000000003,Guest suite,Private room,2,1.0,1.0,82.0,14.0,365.0,0,0,0,140,91.0,9.0,9.0,10.0,10.0,9.0,9.0,0,4.0,0.7,1745.9166666666667,1,Downtown
93478,2021-02-19,1469884,7720839,0,37203.0,36.14584,-86.78634,Guest suite,Private room,3,1.0,1.0,71.0,1.0,300.0,0,0,0,76,88.0,9.0,9.0,9.0,10.0,9.0,8.0,0,4.0,0.11046575342465753,238.56,1,South_Nashville
