,id,host_id,zipcode,latitude,longitude,accommodates,bathrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,occ_rate,monthly_income,host_is_superhost,multi_listing_host,instant_bookable,neighborhood_Bellevue,neighborhood_Donelson,neighborhood_Downtown,neighborhood_East_Nashville,neighborhood_Madison,neighborhood_Midtown,neighborhood_North_Nashville,neighborhood_Parkwood,neighborhood_South_Nashville,neighborhood_Southeast_Nashville,neighborhood_West_Nashville,neighborhood_Whites_Creek,property_type_Condominium,property_type_House,property_type_Other,property_type_Townhouse,room_type_Hotel room,room_type_Private room,room_type_Shared room,inventory,avg_home_value
2015-06-01,4911122.909090909,18478585.61983471,37202.09917355372,36.16191284167005,-86.7684304494073,4.223140495867769,1.4504132231404958,2.0330578512396693,163.11570247933884,1.5454545454545454,889.5537190082645,12.198347107438016,30.41322314049587,50.77685950413223,17.206611570247933,96.79338842975207,9.84297520661157,9.834710743801653,9.87603305785124,9.884297520661157,9.603305785123966,9.727272727272727,0.768595041322314,0.45408897448493823,2156.2904413256483,23,16,20,2.0,7.0,12.0,52.0,1.0,10.0,6.0,1.0,15.0,4.0,8.0,3.0,1.0,78.0,11.0,1.0,0.0,39.0,3.0,121,198388.0
2015-07-01,4585623.563467492,15885418.292260062,37202.20309597523,36.15722212364053,-86.76731578613871,4.607430340557276,1.5077399380804954,2.3089783281733745,202.34922600619194,1.6984520123839009,838.2037151702787,13.492260061919504,32.250773993808046,51.98575851393189,16.53622291021672,96.0687306501548,9.763467492260062,9.6687306501548,9.872445820433436,9.88359133126935,9.520743034055728,9.602476780185759,0.8291021671826625,0.4510430716764787,2658.102759600752,286,151,241,31.0,79.0,285.0,557.0,12.0,172.0,49.0,6.0,208.0,63.0,117.0,9.0,33.0,1048.0,100.0,18.0,0.0,451.0,18.0,1615,199865.0
2015-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,201227.0
2015-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,202952.0
2015-10-01,5435875.047393365,18578265.698578198,37201.41848341232,36.15656393831742,-86.76738954163375,4.7957345971563985,1.5345971563981042,2.4061611374407583,200.52417061611374,1.7478672985781991,836.0943127962086,11.601895734597157,30.816113744075828,52.90379146919431,17.71563981042654,96.17061611374407,9.787677725118483,9.7,9.867772511848342,9.889099526066351,9.563981042654028,9.667298578199052,4.649289099526066,0.4026162583424611,2214.7989981368432,434,915,360,47.0,118.0,328.0,709.0,21.0,236.0,76.0,10.0,260.0,83.0,150.0,23.0,54.0,1360.0,130.0,51.0,0.0,566.0,30.0,2110,204617.0
2015-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,206561.0
2015-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,208109.0
2016-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,209959.0
2016-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,211956.0
2016-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,214092.0
