,availability
1023,1
2025,1
930,1
1030,1
4478,1
4739,1
3540,1
4535,0
3057,1
5587,1
1574,0
5627,0
457,1
2680,1
48,1
3251,1
1038,0
5456,1
5425,1
4852,1
2430,0
3021,0
5366,1
1831,1
5599,1
768,1
5090,1
4976,1
3854,1
845,0
5186,1
817,1
1661,0
1447,1
1158,1
580,1
673,1
24,0
3423,1
5049,1
969,1
4209,1
2685,0
4911,1
5042,1
328,1
3202,1
4216,1
4931,1
1521,0
3223,1
806,0
3492,1
2437,1
1309,0
4106,1
1732,1
3683,1
137,1
5307,0
6032,1
5489,1
1591,1
965,0
3345,1
1945,1
834,0
1913,0
1497,0
5312,1
5434,1
773,1
2652,1
2394,1
652,1
2627,0
5130,1
899,1
297,1
2578,0
2846,1
4542,1
2360,1
5377,1
2206,1
5085,1
2894,1
1080,0
5678,1
454,1
807,1
1160,0
2599,1
455,0
5218,1
1644,1
4625,1
906,1
4,1
1004,1
5695,0
3959,0
4236,0
1932,1
5841,1
3189,1
5900,1
2322,0
2192,1
1465,0
1205,1
4653,1
5522,1
2672,1
2746,1
1323,0
2791,1
436,1
4771,1
1077,1
5512,1
5726,1
5745,1
6055,0
5593,1
5771,0
645,1
3353,1
1960,1
3183,1
3052,1
1740,0
61,1
3045,1
1395,1
150,1
2841,1
3103,0
2790,1
2781,1
529,1
3487,1
2814,1
5309,0
1821,1
1917,1
1609,0
1042,1
4934,1
135,1
1578,1
2946,0
4663,1
6060,1
4818,1
4210,0
663,1
1485,0
2363,1
5536,1
5096,1
4276,1
4933,1
3231,0
5685,1
4076,0
4814,1
2554,1
3643,1
4034,1
3404,1
4258,1
29,1
3763,0
465,1
4464,1
2096,1
2243,1
1020,1
2807,0
2309,1
6022,1
988,0
2980,1
4717,1
2691,0
241,0
1162,1
2461,1
4891,1
3662,1
3926,1
3983,1
1122,0
3306,1
6103,1
4064,1
3002,1
5541,1
2149,1
925,1
2567,1
4913,1
4482,1
2913,1
5739,1
3861,1
1946,1
1134,1
3517,1
1756,1
4378,1
5391,1
3177,0
5154,0
4555,1
2783,1
2585,0
2766,1
3980,1
2082,0
2993,1
282,1
2970,1
2398,1
5481,0
734,0
4093,1
6071,1
4970,1
3473,1
3766,1
621,0
1830,1
3090,1
5821,1
3098,0
729,1
5106,1
2509,1
695,1
3714,1
4977,1
2062,0
4868,1
1047,1
864,1
2335,0
3515,1
5696,0
1724,1
4860,1
386,1
1539,1
1117,1
5764,1
740,0
5142,1
5289,1
28,1
4323,1
2539,1
5031,1
3754,1
828,0
900,1
5279,1
2376,0
603,1
2147,1
2820,0
245,1
2520,1
4743,1
3232,1
1377,1
4585,0
4204,1
1495,1
4468,1
5901,1
934,1
1947,1
2310,0
824,1
4396,0
1442,0
42,1
2597,1
5369,1
4505,1
3479,1
3366,1
1114,1
2442,1
5932,1
4884,1
33,1
3753,0
5884,0
1318,1
3474,1
5018,1
3495,0
4406,1
1188,1
1408,1
2460,1
5643,1
1686,1
5576,1
1976,1
4940,1
1223,0
994,1
5245,1
2565,0
5355,1
5824,1
2867,0
575,1
1346,0
2596,1
1013,0
5954,1
139,1
4146,0
4045,1
3230,1
3921,1
2719,1
2441,0
4595,1
858,1
3836,0
70,1
1967,0
1648,1
5788,1
1978,1
3442,1
5734,1
5819,1
1915,1
5986,1
148,1
2455,1
164,1
5385,1
846,1
1203,1
3502,0
3318,0
1109,1
2057,1
5560,1
6084,1
5668,1
855,1
1288,1
5276,1
4333,1
4457,1
2281,1
4271,1
847,1
3541,1
4948,1
3649,1
4101,1
1370,1
2139,0
118,0
4031,1
4803,0
5580,1
210,1
3222,1
1238,1
4848,1
5837,1
3322,1
5348,0
2623,1
4363,1
2853,1
4655,1
2547,1
5408,1
305,0
6016,1
4903,0
1520,1
5350,1
3436,1
1371,1
4939,1
4608,1
4038,1
3498,1
5615,1
5859,1
4785,0
5766,1
6069,1
1561,1
4774,1
3375,1
4526,1
3160,1
1027,0
5950,1
927,0
3293,1
5108,1
3582,1
5134,1
3254,0
4256,1
3463,1
4369,1
2426,0
2093,1
5116,1
4325,1
3760,1
4438,1
239,1
3697,1
1264,0
1635,1
5514,1
4954,1
5371,1
3837,1
2698,1
584,0
6064,1
2829,1
677,0
6018,1
1195,1
622,1
4758,1
2731,0
4983,0
5553,1
4123,0
3139,0
751,0
1310,0
3922,1
4895,0
4027,1
4364,0
