,availability
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,0
8,1
9,1
10,0
11,0
12,1
13,1
14,1
15,1
16,0
17,1
18,1
19,1
20,0
21,0
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,0
30,1
31,1
32,0
33,1
34,1
35,1
36,1
37,0
38,1
39,1
40,1
41,1
42,0
43,1
44,1
45,1
46,1
47,1
48,1
49,0
50,1
51,0
52,1
53,1
54,0
55,1
56,1
57,1
58,1
59,0
60,1
61,1
62,1
63,0
64,1
65,1
66,0
67,0
68,0
69,1
70,1
71,1
72,1
73,1
74,1
75,0
76,1
77,1
78,1
79,0
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,0
88,1
89,1
90,1
91,0
92,1
93,0
94,1
95,1
96,1
97,1
98,1
99,1
100,0
101,0
102,0
103,1
104,1
105,1
106,1
107,0
108,1
109,0
110,1
111,1
112,1
113,1
114,1
115,0
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,0
124,1
125,0
126,1
127,1
128,1
129,1
130,1
131,0
132,1
133,1
134,1
135,1
136,1
137,0
138,1
139,1
140,1
141,1
142,1
143,0
144,1
145,1
146,0
147,1
148,1
149,1
150,1
151,0
152,1
153,1
154,1
155,0
156,1
157,0
158,1
159,1
160,1
161,1
162,1
163,0
164,1
165,0
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,0
174,1
175,1
176,1
177,1
178,1
179,0
180,1
181,1
182,0
183,1
184,1
185,0
186,0
187,1
188,1
189,1
190,1
191,1
192,1
193,0
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,0
214,0
215,1
216,1
217,0
218,1
219,1
220,0
221,1
222,1
223,1
224,1
225,0
226,0
227,1
228,1
229,1
230,1
231,1
232,0
233,1
234,1
235,1
236,0
237,1
238,1
239,1
240,1
241,1
242,1
243,0
244,1
245,1
246,1
247,0
248,1
249,0
250,1
251,1
252,1
253,1
254,1
255,1
256,0
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,0
265,1
266,1
267,0
268,1
269,1
270,0
271,1
272,1
273,1
274,1
275,1
276,0
277,1
278,1
279,1
280,1
281,1
282,1
283,0
284,1
285,0
286,0
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,0
299,0
300,1
301,1
302,1
303,0
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,0
314,1
315,1
316,0
317,1
318,1
319,0
320,1
321,0
322,1
323,0
324,1
325,1
326,0
327,1
328,1
329,1
330,1
331,0
332,1
333,1
334,0
335,1
336,0
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,0
352,0
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,0
372,0
373,1
374,0
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,0
383,1
384,1
385,1
386,1
387,1
388,1
389,0
390,1
391,0
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,1
400,1
401,1
402,0
403,1
404,1
405,1
406,1
407,1
408,1
409,1
410,0
411,1
412,0
413,1
414,1
415,1
416,1
417,0
418,1
419,1
420,1
421,0
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,0
430,1
431,1
432,1
433,1
434,1
435,1
436,0
437,1
438,1
439,0
440,1
441,1
442,1
443,1
444,0
445,0
446,1
447,0
448,0
449,0
450,0
451,1
452,0
453,1
454,0
455,0
456,1
457,0
458,0
459,1
460,0
461,0
462,1
463,1
464,0
465,1
466,1
467,1
468,0
469,1
470,1
471,1
472,1
473,1
474,1
475,0
476,1
477,0
478,1
479,1
480,1
481,1
482,1
483,1
484,1
485,1
486,1
487,0
488,0
489,1
490,1
491,0
492,1
493,1
494,0
495,0
496,1
497,0
498,1
499,0
500,1
501,1
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,0
511,0
512,1
513,1
514,1
515,1
516,1
517,1
518,0
519,1
520,1
521,1
522,0
523,1
524,1
525,1
526,1
527,1
528,0
529,0
530,0
531,1
532,1
533,1
534,1
535,1
536,1
537,0
538,1
539,1
540,1
541,1
542,1
543,0
544,1
545,1
546,1
547,1
548,0
549,1
550,1
551,1
552,1
553,1
554,1
555,1
556,1
557,1
558,1
559,1
560,1
561,1
562,1
563,0
564,1
565,1
566,1
567,0
568,1
569,1
570,1
571,1
572,1
573,1
574,1
575,1
576,0
577,1
578,1
579,0
580,1
581,1
582,1
583,0
584,1
585,1
586,1
587,1
588,0
589,0
590,0
591,0
592,1
593,1
594,1
595,0
596,1
597,1
598,0
599,1
600,1
601,1
602,1
603,1
604,1
605,1
606,1
607,1
608,1
609,1
610,1
611,1
612,1
613,1
614,1
615,1
616,0
617,1
618,0
619,0
620,0
621,0
622,1
623,0
624,1
625,1
626,1
627,1
628,1
629,1
630,1
631,0
632,1
633,1
634,1
635,1
636,0
637,1
638,1
639,0
640,0
641,1
642,0
643,1
644,0
645,1
646,0
647,0
648,1
649,1
650,1
651,1
652,1
653,1
654,1
655,1
656,1
657,1
658,0
659,0
660,0
661,1
662,1
663,1
664,1
665,1
666,1
667,1
668,1
669,1
670,0
671,1
672,1
673,1
674,1
675,1
676,1
677,1
678,1
679,1
680,0
681,1
682,1
683,1
684,1
685,0
686,1
687,0
688,1
689,0
690,1
691,1
692,0
693,0
694,1
695,1
696,1
697,1
698,0
699,1
700,1
701,1
702,1
703,1
704,0
705,1
706,0
707,0
708,0
709,1
710,1
711,1
712,1
713,1
714,1
715,1
716,1
717,1
718,1
719,0
720,1
721,0
722,1
723,1
724,0
725,0
726,0
727,1
728,1
729,1
730,1
731,1
732,1
733,1
734,0
735,0
736,0
737,1
738,1
739,0
740,1
741,1
742,1
743,1
744,1
745,0
746,1
747,1
748,1
749,0
750,1
751,1
752,1
753,0
754,1
755,1
756,1
757,1
758,1
759,1
760,1
761,0
762,0
763,1
764,0
765,1
766,1
767,1
768,0
769,1
770,1
771,1
772,0
773,0
774,1
775,0
776,1
777,1
778,1
779,1
780,1
781,1
782,0
783,1
784,0
785,0
786,1
787,1
788,1
789,1
790,1
791,1
792,0
793,1
794,1
795,1
796,1
797,1
798,1
799,1
800,1
801,1
802,0
803,1
804,0
805,1
806,1
807,1
808,1
809,1
810,1
811,1
812,1
